, Funding Amount,Employee Count,Number of of advisors,Have been part of startups in the past?,Worked in top companies,Both,Product,Service,Have been part of successful startups in the past?,Bachelors,Masters,No degree,PhD,Success
0,450000.0,3.0,2,0,0,0,0,1,0,0,1,0,0,1
1,6167870.0,34.0,0,1,1,0,1,0,1,0,1,0,0,1
2,2350000.0,14.0,0,0,1,1,0,0,0,1,0,0,0,1
3,10250000.0,45.0,0,1,0,0,1,0,1,1,0,0,0,1
4,5500000.0,39.0,1,0,0,0,1,0,0,1,0,0,0,1
5,1000000.0,14.0,0,0,0,0,0,1,0,0,1,0,0,1
6,2000000.0,7.0,9,1,0,1,0,0,1,0,0,0,1,1
7,6700000.0,29.0,4,1,0,1,0,0,1,0,1,0,0,1
8,11000000.0,16.0,0,1,1,0,1,0,1,0,1,0,0,1
9,3000000.0,3.0,4,1,1,0,1,0,1,0,0,0,1,1
10,16000000.0,34.0,1,1,0,1,0,0,1,1,0,0,0,1
11,6300000.0,31.0,1,1,0,0,1,0,1,0,1,0,0,1
12,11500000.0,47.0,1,1,0,0,1,0,1,1,0,0,0,1
13,6500000.0,22.0,0,1,0,0,1,0,0,1,0,0,0,1
14,2800000.0,13.0,0,0,0,0,1,0,0,0,0,0,1,1
15,41000000.0,129.0,0,0,0,1,0,0,0,0,1,0,0,1
16,3499999.0,23.0,0,0,0,0,1,0,0,0,1,0,0,1
17,10000000.0,52.0,0,0,0,1,0,0,0,0,1,0,0,1
18,750000.0,46.0,0,1,1,1,0,0,1,0,1,0,0,1
19,749999.0,5.0,0,1,0,0,1,0,1,1,0,0,0,1
20,5000000.0,27.0,0,1,1,1,0,0,0,1,0,0,0,1
21,1500000.0,34.0,0,1,0,1,0,0,1,0,1,0,0,1
22,15000000.0,32.0,8,1,1,0,0,1,1,0,1,0,0,1
23,6167870.0,34.0,6,1,0,0,0,1,1,0,1,0,0,1
24,1700000.0,3.0,0,1,0,0,0,1,1,0,0,0,1,1
25,250000.0,5.0,1,1,0,0,0,1,1,0,1,0,0,1
26,1400000.0,5.0,0,0,0,0,0,1,0,1,0,0,0,1
27,1100000.0,34.0,0,0,0,0,0,1,0,0,0,0,1,1
28,15000000.0,34.0,8,0,0,0,0,1,0,1,0,0,0,1
29,200000.0,3.0,0,0,0,0,0,1,0,1,0,0,0,1
30,600000.0,7.0,0,0,0,0,0,1,0,1,0,0,0,1
31,6167870.0,39.0,0,1,1,0,0,1,0,0,0,0,1,1
32,20000000.0,115.0,2,0,0,0,1,0,0,1,0,0,0,1
33,2000000.0,9.0,0,1,0,0,0,1,0,1,0,0,0,1
34,6167870.0,34.0,0,1,0,0,1,0,1,1,0,0,0,1
35,2870890.0,14.0,6,0,0,0,0,1,0,1,0,0,0,1
36,5200000.0,26.0,4,0,0,0,0,1,0,1,0,0,0,1
37,70000.0,6.0,3,1,0,0,1,0,1,0,1,0,0,1
38,1000000.0,13.0,0,0,0,0,0,1,0,1,0,0,0,1
39,450000.0,7.0,0,0,1,0,0,1,0,1,0,0,0,1
40,6167870.0,6.0,1,1,0,0,0,1,0,0,1,0,0,1
41,6167870.0,3.0,9,1,0,0,1,0,1,1,0,0,0,1
42,60000.0,57.0,8,0,0,0,0,1,0,0,1,0,0,1
43,2517424.0,12.0,0,0,0,0,1,0,0,0,1,0,0,1
44,6167870.0,34.0,3,1,0,0,1,0,1,0,1,0,0,1
45,1750000.0,25.0,10,1,0,0,1,0,1,0,0,0,1,1
46,3000000.0,35.0,2,0,0,0,1,0,0,0,0,0,1,1
47,30000000.0,267.0,13,1,0,0,1,0,1,1,0,0,0,1
48,25000000.0,594.0,0,0,0,0,0,1,0,1,0,0,0,1
49,11000000.0,19.0,0,1,1,0,1,0,1,1,0,0,0,0
50,4000000.0,23.0,1,1,0,0,0,1,1,1,0,0,0,1
51,13000000.0,50.0,2,1,1,1,0,0,1,1,0,0,0,1
52,1070901.0,34.0,5,0,0,1,0,0,0,0,1,0,0,1
